AAAS - African & African Amer Studies | First-Year Seminar | 000064 | Topics vary each semester offered. | FALL-SPRNG
AAAS - African & African Amer Studies | Introduction to African American Studies | 000081 | A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy. | FALL
AAAS - African & African Amer Studies | Introduction to African Studies (DS3 or DS4) | 000082 | A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender. | SPRING
AAAS - African & African Amer Studies | First-Year Seminar | 000064 | Topics vary each semester offered. | FALL-SPRNG
AAAS - African & African Amer Studies | Introduction to African American Studies | 000081 | A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy. | FALL
AAAS - African & African Amer Studies | Introduction to African Studies (DS3 or DS4) | 000082 | A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender. | SPRING
AAAS - African & African Amer Studies | Introduction to Latino/a Studies in the Global South | 022918 | Introduction to the interdisciplinary field of Latino/a Studies, and how it reconfigures the study of the United States and the Americas. Considers literature, history, sociology, economics, politics, culture and language in examining terms such as: Latino, latinidad, Global South, transnational, globalization, and multiculturalism. Exploration of alignments and divergences of Latino/a Studies with African and African American Studies, Latin American and Caribbean Studies, and Critical US Studies. Classroom learning will connect with the community outside of Duke. Required introductory course for students in the Latino/a Studies in the Global South certificate program. | FALL-SPRNG
AAAS - African & African Amer Studies | History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop | 021427 | The history of rock music from the 1950s to the present. Beginning with its roots in rhythm and blues, country and western, and commercial pop, examination of diverse musical styles, artists and bands, and the many historical, technological, and cultural factors that have contributed to the rise and popularity of rock music. | FALL
AAAS - African & African Amer Studies | Introduction to Jazz | 018580 | Lecture version of Music 140D. | FALL-SPRNG
AAAS - African & African Amer Studies | Motown and American Soul Music | 025035 | During the 1960’s, in Detroit, Michigan, a landmark in music was established: The Motown Sound. This aural kaleidoscope of high quality, dynamic song creation was established through a confluence of talent and hard work by people whose names now line the halls of fame for popular music. Some of these luminaries include Berry Gordy, Diana Ross, Stevie Wonder, Marvin Gaye, and Holland-Dozier-Holland. This course will investigate the societal and musical factors that gave rise to such a distinctive aesthetic, also framing this phenomenon as a point of comparison to a range of commercial music styles, including Philly Soul, Southern Soul, RnB, and current musical trends. | SPRING
AAAS - African & African Amer Studies | Business Anthropology: Anthropologists in the Workplace | 025328 | Introduces students to the various applications of anthropological theory and ethnographic method in contemporary institutional settings with the aim of familiarizing students with alternative career opportunities. The course looks at corporate and other private and public-sector use cases as well as the extensive literatures in the fields of organizational management, user, and consumer experience. Students also engage professionals in order to better understand processes of research, hypothesis testing, analysis, and the formulation of organizational management, design, and other strategic solutions for clients. | FALL-SPRNG
